


SongNum|SongID      |SongName                                          |SongAlbum                               |SongArtist                    |LrcSts         |ErrorInfo
1      |2002970862  |星になる (feat. 倚水)                                   |星になる (feat. 倚水)                         |Islet,倚水                      |EXISTED        |√
2      |2123568254  |极星流浪夜                                             |极星流浪夜【星尘Infinity永夜Minus原创】              |被遗忘者的哀伤,北山薇                   |EXISTED        |√
3      |482636088   |Barricades                                        |TVアニメ「進撃の巨人」Season 2 オリジナルサウンドトラック      |澤野弘之,mpi,Yosh                 |EXISTED        |√
4      |29405896    |ハルカナホシノセカイへ                                       |PUELLABYTE                              |AcuticNotes,Bernis            |EXISTED        |×<NO_LYRIC_LABEL>
5      |29405895    |Aw.C1971                                          |PUELLABYTE                              |AcuticNotes,AN                |NOLYRICS       |×<NO_LYRIC_LABEL>
6      |29405904    |存在信号 (Aw.0000)                                    |PUELLABYTE                              |AcuticNotes                   |NOLYRICS       |×<NO_LYRIC_LABEL>
7      |31546658    |沁水の箱庭                                             |CIERA                                   |AcuticNotes                   |EXISTED        |√
8      |2077813680  |碎镜                                                |碎镜【星尘infinity原创】                        |被遗忘者的哀伤,北山薇                   |EXISTED        |√
9      |400690264   |センダンライフ                                           |劇場アニメ ガラスの花と壊す世界 イメージソング                |花守ゆみり                         |EXISTED        |√
10     |5400327     |죽을 만큼 아파서                                         |블루브랜드 Trauma Part 2                     |MC 몽,Mellow                   |EXISTED        |√
11     |2673143723  |ネオンドリームス（霓光梦）                                     |ネオンドリームス（霓光梦）                           |icy                           |EXISTED        |√
12     |2156173170  |金魚蒔絵の水飛沫                                          |藍月なくるCover Collection Vol.1             |藍月なくる                         |EXISTED        |√
13     |516657171   |乖離光(Instrumental)                                 |soleil de minuit                        |藍月なくる,Sennzai                 |NOLYRICS       |×<NO_LYRIC_LABEL>
14     |2656233149  |七ツ風                                               |七ツ風                                     |ナナツカゼ                         |EXISTED        |√
15     |2151658899  |Désive                                            |Désive                                  |MisomyL                       |NOLYRICS       |×<NO_LYRIC_LABEL>
16     |2627412697  |かなしばりに遭ったら                                        |かなしばりに遭ったら                              |あばらや                          |EXISTED        |√
17     |2637083550  |Astronomy                                         |Astronomy                               |Empty old City                |EXISTED        |√
18     |2141196482  |アンノウン・マザーグース -in the case of Lezel-               |アンノウン・マザーグース -in the case of Lezel-     |Lezel                         |EXISTED        |√
19     |2658660077  |Nameless Faces                                    |崩坏星穹铁道-何者 Nameless Faces                |幾田りら,HOYO-MiX                 |EXISTED        |√
20     |2667733098  |Algebra                                           |Atomic Function                         |凛                             |NOTSUPPLIED    |×<NO_LYRIC_LABEL>
21     |2658039443  |时光正在回退                                            |绝区零-极限委托                                |三Z-STUDIO,HOYO-MiX            |NOLYRICS       |×<NO_LYRIC_LABEL>
22     |2657833377  |秩序脱轨·黑夜                                           |绝区零-极限委托                                |三Z-STUDIO,HOYO-MiX            |NOLYRICS       |×<NO_LYRIC_LABEL>
23     |2657830943  |绝命舞曲                                              |绝区零-极限委托                                |三Z-STUDIO,HOYO-MiX            |NOLYRICS       |×<NO_LYRIC_LABEL>
25     |2082450294  |孤星入海                                              |行路见闻.5                                  |环行旅舍                          |NOLYRICS       |×<NO_LYRIC_LABEL>
26     |2082450852  |初探幻境                                              |行路见闻.5                                  |环行旅舍                          |NOLYRICS       |×<NO_LYRIC_LABEL>
27     |2082450851  |降临                                                |行路见闻.5                                  |环行旅舍                          |NOLYRICS       |×<NO_LYRIC_LABEL>
28     |2666660479  |原色                                                |绝区零-天琴座+                                |三Z-STUDIO,HOYO-MiX            |EXISTED        |√
29     |2108937545  |IVORY TOWER(feat.SennaRin)                        |IVORY TOWER                             |无敌旋风小腿毛,苏打岚Soda               |EXISTED        |√
30     |1931658532  |レイヴン・フリージア                                        |prayer                                  |幸祜                            |EXISTED        |√
32     |2619705913  |星月のハーモニー                                          |HLRecords Vol.2 Cosmic Blooming         |YellowCheese,Hilarity Leap Records|EXISTED        |√
